threshold:  0.133293612 ,cutoff:  0.789031064326 ,fpr:  0.00155306298533 ,tpr:  0.210970464135
threshold:  0.133086404 ,cutoff:  0.784811663261 ,fpr:  0.00155306298533 ,tpr:  0.215189873418
threshold:  0.132494472 ,cutoff:  0.780592262285 ,fpr:  0.00155306298533 ,tpr:  0.2194092827
threshold:  0.131802774 ,cutoff:  0.780592624688 ,fpr:  0.00172562553926 ,tpr:  0.2194092827
threshold:  0.131797954 ,cutoff:  0.776373225772 ,fpr:  0.00172562553926 ,tpr:  0.223628691983
threshold:  0.131282935 ,cutoff:  0.772153826969 ,fpr:  0.00172562553926 ,tpr:  0.227848101266
threshold:  0.130471366 ,cutoff:  0.767934428281 ,fpr:  0.00172562553926 ,tpr:  0.232067510549
threshold:  0.129993781 ,cutoff:  0.767934835434 ,fpr:  0.00189818809318 ,tpr:  0.232067510549
threshold:  0.129749237 ,cutoff:  0.763715439113 ,fpr:  0.00189818809318 ,tpr:  0.236286919831
threshold:  0.128700085 ,cutoff:  0.759496042935 ,fpr:  0.00189818809318 ,tpr:  0.240506329114
threshold:  0.128423008 ,cutoff:  0.755276646904 ,fpr:  0.00189818809318 ,tpr:  0.244725738397
threshold:  0.128027092 ,cutoff:  0.751057251022 ,fpr:  0.00189818809318 ,tpr:  0.248945147679
threshold:  0.127953555 ,cutoff:  0.751057706972 ,fpr:  0.00207075064711 ,tpr:  0.248945147679
threshold:  0.126934511 ,cutoff:  0.746838313818 ,fpr:  0.00207075064711 ,tpr:  0.253164556962
threshold:  0.125020846 ,cutoff:  0.742618920846 ,fpr:  0.00207075064711 ,tpr:  0.257383966245
threshold:  0.124810741 ,cutoff:  0.738399528061 ,fpr:  0.00207075064711 ,tpr:  0.261603375527
threshold:  0.124720795 ,cutoff:  0.738400032155 ,fpr:  0.00224331320104 ,tpr:  0.261603375527
threshold:  0.124383503 ,cutoff:  0.738400576576 ,fpr:  0.00241587575496 ,tpr:  0.261603375527
threshold:  0.123785949 ,cutoff:  0.738401161324 ,fpr:  0.00258843830889 ,tpr:  0.261603375527
threshold:  0.123576461 ,cutoff:  0.7384017864 ,fpr:  0.00276100086281 ,tpr:  0.261603375527
threshold:  0.12291776 ,cutoff:  0.734182406783 ,fpr:  0.00276100086281 ,tpr:  0.26582278481
